S.No.,completed_by,ref# (DELETE LATER),tornado_name,tornado_year,town,overall_photos_link,tornado_EF,tornado_start_lat,tornado_end_lat,tornado_start_long,tornado_end_long,latitude,longitude,complete_address,building_name_listing,building_name_current,archetype,located_in_historic_district,occupany_u,number_stories,year_built_u,building_area_m2,building_urban_setting,building_position_on_street,buidling_height_m,first_floor_elevation_m,front_elevation_orientation,wall_length_side,wall_length_front,wall_thickness,roof_shape_u,roof_slope_u,construction_type_u,construction_type_u_unc,mwfrs_u_wall,mwfrs_u_wall_unc,mwfrs_u_roof,mwfrs_u_roof_unc,mwfrs_u_moment_frame,mwfrs_u_unc,mwfrs_u_unc,masonry_leaves,masonry_leaves_unc,structural_wall_system_u,foundation_type_u,foundation_type_u_unc,wall_anchorage_type_u,wall_anchorage_type_u_unc,wall_substrate_u,wall_substrate_u_unc,wall_cladding_u,wall_cladding_u_unc,soffit_type_u,soffit_present_u,wall_fenesteration_per_front,wall_fenesteration_per_back,wall_fenesteration_per_right,wall_fenesteration_per_left,wall_fenestration_per_n,wall_fenestration_per_s,wall_fenestration_per_e,wall_fenestration_per_w,wall_fenesteration_protection_front,wall_fenesteration_protection_front_unc,wall_fenesteration_protection_back,wall_fenesteration_protection_back_unc,wall_fenesteration_protection_right,wall_fenesteration_protection_left,fenestration_protection_type_front,fenestration_protection_type_back,fenestration_protection_type_right,fenestration_protection_type_left,large_door_present_front,large_door_present_back,large_door_present_right,large_door_present_left,door_present_n,door_present_s,door_present_e,door_present_w,roof_system_u,roof_system_u_unc,r2wall_attachment_u,roof_substrate_type_u,roof_substrate_type_u_unc,roof_cover_u,repla,overhang_length_u,parapet_height_m,retrofit_year_u,retrofit_present_u,retrofit_type_u,retrofit_type_unc_u,hazards_present_u,status_u,wind_damage_rating_u,damage_indicator_u,degree_of_damage_u,wind_damage_details_u,roof_structure_damage_u,roof_structure_damage_u_per,roof_susbtrate_damage_u,roof_substrate_damage_per,foundation_failure_u,foundatio_failure_per_u,wall_structure_damage_per_front,wall_structure_damage_per_back,wall_structure_damage_per_left,wall_structure_damage_per_right,wall_structure_damage_u,wall_structure_damage_n,wall_structure_damage_s,wall_structure_damage_e,wall_structure_damage_w,wall_substrate_damage_per_front,wall_substrate_damage_per_back,wall_substrate_damage_per_right,wall_substrate_damage_per_left,wall_substrate_damage_n,wall_substrate_damage_s,wall_substrate_damage_e,wall_substrate_damage_w,wall_substrate_damage_u,wall_cladding_damage_per_front,wall_cladding_damage_per_back,wall_cladding_damage_per_right,wall_cladding_damage_per_left,wall_cladding_damage_n,wall_cladding_damage_s,wall_cladding_damage_e,wall_cladding_damage_w,damaged_fenesteration_per_front,damaged_fenesteration_per_back,damaged_fenesteration_per_right,damaged_fenesteration_per_left,wall_fenestration_damage_per_n,wall_fenestration_damage_per_s,wall_fenestration_damage_per_e,wall_fenestration_damage_per_w,soffit_damage_per_u,fascia_damage_per_u,piles_damage_u,foundation_damage_cause_u,foundation_damage_u,foundation_damage_u_per,risk_category_16,building_low_rise,overall_photos_front,overall_photos_back,overall_photos_left,overall_photos_right,detailed_photos_front,detailed_photos_back,detailed_photos_left,detailed_photos_right,elevations_assessed_front_o,elevations_assessed_back_o,elevations_assessed_left_o,elevations_assessed_right_o,address_suite,address_locality,address_postal_code,address_country,occupancy_o,year_built_o,understory_pct_of_building_footprint,roof_shape_o,roof_slope_o,construction_type_o,mwfrs_o,structural_wall_system_o,foundation_type_o,wall_anchorage_type_o,wall_substrate_o,wall_cladding_o,soffit_type_o,wall_fenesteration_protection_right_unc,wall_fenesteration_protection_left_unc,fenestration_protection_type_unc,fenesteration_ratio_o,large_door_opening_type_,opening_type,roof_system_o,r2wall_attachment_o,r2wall_attachment_type_unc,roof_substrate_type_o,roof_cover_o,overhang_length_o,secondary_water_barrier_o,secondary_water_barrier_u,retrofit_type_1_o,retrofit_type_1_u,retrofit_type_2_o,reotrofit_2_u,retrofit_year_o,hazards_present_o,status_o,wind_damage_rating_o,overall_damage_notes_o,surge_damage_rating_o,surge_damage_rating_u,rainwater_ingress_damage_rating_o,rainwater_ingress_damage_rating_u,damage_indicator_o,degree_of_damage_o,wind_damage_details_o,roof_structure_damage_o,roof_susbtrate_damage_o,foundation_failure_o,wall_structure_damage_o,wall_substrate_damage_o,wall_cladding_damage_o,wall_cladding_damage_level_u, stories_with_damage_o, stories_with_damage_u,soffit_damage_per_o,fascia_damage_per_o,per_building_footprint_eroded_o,per_building_footprint_eroded_u,damage_understory_per_o,piles_damage_o,foundation_damage_cause_o,oop_failure_n,oop_failure_s,oop_failure_e,oop_failure_w,ip_failure_n,ip_failure_s,ip_failure_e,ip_failure_w,building_open,building_enclosed,building_regular_shape,exposure_category,building_rigid,national_register_listing_year,existed_during_tornado,buidling_use_before_tornado,buidling_use_after_tornado,buidling_use_plan_after_tornado,demolishing_year,single_unit,multiple_unit,world_heritage_property,hague_convention,sub_national_heritage _list,iucn_protected_area,property_of_local_significance,const_material_h_stone,const_material_h_brick,const_material_h_wood,const_material_h_mud,const_material_h_rf_masonry,const_material_h_rglr_stone,const_material_h_rf_conc,const_material_h_ir_stone,const_material_h_othr,const_material_v_stone,const_material_v_brick,const_material_v_wood,const_material_v_mud,const_material_v_rf_masonry,const_material_v_rglr_stone,const_material_v_rf_conc,const_material_v_ir_stone,const_material_v_othr,prop_agricultural ,prop_cave,prop_culture _entertainment_facility,prop_forest,prop_industrial_facility,prop_lake,prop_military,prop_nature,prop_religious,prop_rock formation,prop_sports_facility,prop_unilities_facility,prop_archaeological,prop_commemorative structure or landmark,prop_ecosystem,prop_habitat,prop_infrastructure,prop_law / government facility,prop_mine,prop_park / garden,prop_residential facility,prop_scenic area,prop_transportation facility,prop_volcano,prop_battlefield,prop_commercial / exchange facility,prop_educational facility,prop_health / welfare facility,prop_island(s),prop_marine zone,prop_mountain,parking / storage facility,river catchment system,sea,underground facility,zoological park,prop_val_evidential,prop_val_historical,prop_val_aesthetic,prop_val_communal,owner_individual,owner_business,owner_government,owner_ngo,owner_religious ,owner_unknown,buidling_existed_5_yrs_before_tornado,buidling_existed_3_yrs_before_tornado,buidling_existed_1_yrs_before_tornado,building_existed_during_tornado,building_in_use_during_tornado,building_use_during_tornado,damage_status,building_demolished_1_yrs_after_tornado,building_demolished_3_yrs_after_tornado,building_demolished_5_yrs_after_tornado,notes
,shayla,79002485,"December 10-11, 2021 Tornado Outbreak",2021,Gardner,Off TN 22 Gardner TN 38236 US,subEF,36.48,37.61,-89.14,-86.51,36.365278,-88.893611,Off TN 22 Gardner TN 38236 US,"Caldwell, William Parker, House",,5,no,residential,2,,370,isolated,recessed,10,4,s,23,19,0.2,gable,30,wooden_light_frame,3,wall_diaphragm_wood,3,roof_diaphragm_wood,3,no,3,,not_applicable,3,wood_frame,masonry_un,3,un,1,wooden_un,2,wood_plank,3,wood,yes,30,,,,,30,,,no,,no,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,3,un,dimensional_lumber,2,asphalt,1,0.35,0,,un,,,wind,undamaged,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979,yes,residential,residential,residential,not_applicable,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,some,no value,some,no value,1,0,0,0,0,0,yes,yes,yes,yes,yes,residential,undamaged,no,no,no,
,shayla,2000809,"December 10-11, 2021 Tornado Outbreak",2021,Union City,"2221 Old Troy Rd Union City, TN 38261 US",subEF,36.48,37.61,-89.14,-86.51,36.417506,-89.086767,"2221 Old Troy Rd Union City, TN 38261 US",Houser House,,6,no,residential,2,1928,330,isloated,recessed,7,3.5,s,20,16.5,0.2,gable-hip_combo,30,maonsry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,3,,not_applicable,3,masonry_un,un,1,un,1,un,1,brick,3,un,yes,35,,,,,35,,,no,,no,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,2,un,un,1,asphalt,3,0.66,0,,no,,,wind,undamaged,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,yes,residential,residential,residential,not_applicable,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,limited,no value,some,no value,1,0,0,0,0,0,yes,yes,yes,yes,yes,residential,undamaged,no,no,no,very little information and imargery for this building
,shayla,99000361,"December 10-11, 2021 Tornado Outbreak",2021,Union City,415 W Main St Union City TN 38261 US,subEF,36.48,37.61,-89.14,-86.51,36.426242,-89.060611,415 W Main St Union City TN 38261 US,Union City Armory,,6,no,storage,1,1941,1100,isloated,recessed,11,5,s,53,21,un,flat,0,masonry_un,3,wall_diaphragm_masonry,3,un,1,un,1,,un,1,solid_brick_wythe,concrete_un,3,un,1,un,1,brick,3,not_applicable,no,5,10,5,15,10,5,5,15,no,,no,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,yes,no,no,no,yes,wooden_un,2,un,un,1,un,1,0,1.3,,no,,,wind,undamaged,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,yes,storage,storage,storage,not_applicable,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,limited,some,limited,some,0,1,0,0,0,0,yes,yes,yes,yes,yes,storage,undamaged,no,no,no,
,shayla,95000340,"December 10-11, 2021 Tornado Outbreak",2021,Union City,6 Bill Burnett Cir Union City TN 32861 US,subEF,36.48,37.61,-89.14,-86.51,36.423231,-89.059358,6 Bill Burnett Cir Union City TN 32861 US,Obion County Courthouse,,14,no,business,2,1939,1050,isolated,recessed,11,4.3,e,33,30,un,flat,0,masonry_un,3,wall_diaphragm_masonry,3,un,1,no,3,,double_leaf,2,masonry_block_unreinforced,un,1,un,1,un,1,stone_ot,3,not_applicable,no,10,10,10,10,10,10,10,10,no,,no,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,un,1,un,un,1,un,1,0,1,,no,,,wind,undamaged,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,yes,business,business,business,not_applicable,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,some,limited,some,some,0,0,1,0,0,0,yes,yes,yes,yes,yes,business,undamaged,no,no,no,"guess on the height of the building, exterior building material is some type of smooth stone"
,shayla,84003671,"December 10-11, 2021 Tornado Outbreak",2021,Union City,114 W Washington Union City TN 38261 US,subEF,36.48,37.61,-89.14,-86.51,36.422886,-89.058181,114 W Washington Union City TN 38261 US,US Post Office,,14,no,business,2,1913,1100,isolated,recessed,11.5,4.3,n,38,34,un,complex,30,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,3,,double_leaf,2,solid_brick_wythe,concrete_un,2,un,1,un,1,brick,3,not_applicable,no,25,20,10,10,25,20,10,10,no,,no,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,yes,yes,no,no,yes,no,yes,un,1,un,un,1,asphalt,3,0,1,,un,,,wind,undamaged,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,yes,business,business,business,not_applicable,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,some,limited,some,some,0,0,1,0,0,0,yes,yes,yes,yes,yes,business,undamaged,no,no,no,multiple roof types because complex roof; went with asphalt but there is also a flat roof
,shayla,83004283,"December 10-11, 2021 Tornado Outbreak",2021,Union City,106 1st St Union City TN 38261 US,subEF,36.48,37.61,-89.14,-86.51,36.425336,-89.05705,106 1st St Union City TN 38261 US,Deering Building,,19,no,business,3,1891,650,row_end,recessed,12.7,4,w,30,43,un,flat,0,masonry_un,3,wall_diaphragm_masonry,3,un,1,no,3,,un,1,solid_brick_wythe,un,1,un,1,un,1,brick,3,not_applicable,no,25,15,0,10,10,0,15,25,no,,no,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,un,1,un,un,1,asphalt,2,0,1,un,un,,,wind,undamaged,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,yes,business,business,business,not_applicable,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,some,limited,considerable,limited,0,1,0,0,0,0,yes,yes,yes,yes,yes,business,undamaged,no,no,no,"used t19 but it is 3 stories, not 2; masonry business building"
,shayla,99000363,"December 10-11, 2021 Tornado Outbreak",2021,Union City,118 S First St Union City TN 38261 US,subEF,36.48,37.61,-89.14,-86.51,36.424958,-89.057011,118 S First St Union City TN 38261 US,Capitol Theatre,,19,no,assembly,1,1927,700,row_middle,right_on_street,10,5,w,44,16,un,flat,0,masonry_un,3,wall_diaphragm_masonry,3,un,1,un,1,,double_leaf,2,solid_brick_wythe,un,1,un,1,un,1,brick,3,not_applicable,no,5,5,0,0,0,0,5,5,no,,no,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,yes,no,no,no,no,yes,no,un,1,un,un,1,un,1,0,1,,no,,,wind,undamaged,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,yes,assembly,assembly,assembly,not_applicable,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,considerable,some,some,considerable,0,1,0,0,0,0,yes,yes,yes,yes,yes,assembly,undamaged,no,no,no,
where I started using a 2 mile radius,shayla,75000802,"December 10-11, 2021 Tornado Outbreak",2021,Benton,1309 Main St Benton KY 42025,subEF,36.48,37.61,-89.14,-86.51,36.855697,-88.350531,1309 Main St Benton KY 42025 US,"Lemon, James R., House",,1,no,residential,1,1872,230,isolated,right_on_street,5.7,3.5,w,19,12,0.2,complex,60,wooden_light_frame,3,wall_diaphragm_wood,3,roof_diaphragm_wood,3,no,3,,not_applicable,3,wood_frame,un,1,un,1,un,1,wood_plank,3,vinyl,yes,90,,15,20,20,15,,90,no,,no,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,3,un,dimensional_lumber,2,asphalt,3,0.3,0,,un,,,wind,minor,1,1,1,roof damage to cover (shingles); very minor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,yes,residential,residential,residential,not_applicable,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,limited,limited,limited,no value,1,0,0,0,0,0,yes,yes,yes,yes,yes,residential,minor,no,no,no,"a-frame house, used t1 bc gable, wooden, and 1 story"
,shayla,86002195,"December 10-11, 2021 Tornado Outbreak",2021,Benton,991 Birch St Benton KY 42025,subEF,36.48,37.61,-89.14,-86.51,36.859175,-88.346961,991 Birch St Benton KY 42025 US,Stilley House,,19,no,unknown,2,1903,120,isolated,recessed,11,3.5,w,11,11,un,complex,45,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,3,,single_leaf,2,solid_brick_wythe,masonry_un,1,un,1,un,1,brick,3,wood,yes,10,5,10,10,10,10,5,10,no,,no,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,no,no,yes,no,no,wooden_un,3,un,dimensional_lumber,2,asphalt,3,0.3,0,1950,yes,building_addition,3,wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,yes,unknown,demolished,demolished,2022,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,some,some,considerable,limited,0,1,0,0,0,0,yes,yes,yes,yes,no,unknown,,yes,yes,yes,unsure of certain damage; was shown demolished in 2022 and starting to fall apart in 2019
,shayla,1000802,"December 10-11, 2021 Tornado Outbreak",2021,Princeton,0.5 mi N of Jct SR 293 and Caldwell Chapel Rd Princeton KY 42445,subEF,36.48,37.61,-89.14,-86.51,37.073936,-87.961911,0.5 mi N of Jct SR 293 and Caldwell Chapel Rd Princeton KY 42445 US,Halleck's Chapel and Halleck's School,,1,no,not in use,1,1912,83,isolated,recessed,4.6,3,n,10,9,un,gable,30,wooden_light_frame,3,wall_diaphragm_wood,3,roof_diaphragm_wood,3,no,3,,not_applicable,3,wood_frame,un,1,un,1,wooden_panels,3,wood_plank,3,wood,yes,15,10,15,15,15,10,15,15,no,,no,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,3,un,dimensional_lumber,2,metal_un,1,0,0,un,un,,,wind,moderate,2,2,2,looks like pretty bad roof damage; might have been slightly caved in,2,15,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,yes,not in use,not in use,not in use,not_applicable,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,some,considerable,no value,considerable,0,0,0,0,0,1,yes,yes,yes,yes,no,not in use,moderate,no,no,no,very little information and imargery for this building; assuming damage status on aeriel views and nearby buildings
,shayla,97001238,"December 10-11, 2021 Tornado Outbreak",2021,Princeton,302 Nichols St Princeton KY 42445,subEF,36.48,37.61,-89.14,-86.51,37.101706,-87.877761,302 Nichols St Princeton KY 42445 US,Knott House,,1,no,residential,1,1952,125,isolated,recessed,4.6,3.5,n,10,12.5,0.2,gable,30,wooden_light_frame,3,wall_diaphragm_wood,3,roof_diaphragm_wood,3,no,3,,not_applicable,3,wood_frame,concrete_un,2,un,1,wooden_un,2,un,1,un,yes,40,15,5,10,40,15,10,5,no,,no,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,yes,no,no,no,yes,no,no,no,wooden_un,3,un,dimensional_lumber,2,asphalt,1,0.35,0,,no,,,wind,undamaged,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,yes,residential,residential,residential,not_applicable,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,limited,no value,some,no value,1,0,0,0,0,0,yes,yes,yes,yes,yes,residential,undamaged,no,no,no,seems to be no damage
,shayla,95000641,"December 10-11, 2021 Tornado Outbreak",2021,Princeton,501 Washington St Princeton KY 42445,subEF,36.48,37.61,-89.14,-86.51,37.109431,-87.886781,501 Washington St Princeton KY 42445 US,"Powell, William S., House",,19,no,residential,2,1875,350,isolated,recessed,8.75,4,n,17,20,0.33,gable,30,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,3,,triple_leaf,3,masonry_block_unreinforced,masonry_un,3,un,1,wooden_un,2,brick,3,wood,yes,30,5,10,10,30,5,10,10,no,,no,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,3,un,un,1,asphalt,1,0.75,0,,no,,,wind,undamaged,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,yes,residential,residential,residential,not_applicable,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,considerable,some,considerable,no value,1,0,0,0,0,0,yes,yes,yes,yes,yes,residential,undamaged,no,no,no,might be minor roof cover damage? From what I can see
,shayla,73000793,"December 10-11, 2021 Tornado Outbreak",2021,Princeton,304 N Jefferson St Princeton KY 42445,subEF,36.48,37.61,-89.14,-86.51,37.110492,-87.880761,304 N Jefferson St Princeton KY 42445 US,Adsmore,,19,no,museum,2,1860,380,isolated,recessed,8,4,w,21,17.5,un,gable,30,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,3,,double_leaf,2,solid_brick_wythe,masonry_un,2,un,1,un,1,brick,3,wood,yes,30,30,20,30,30,20,30,30,no,,no,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,2,un,un,1,asphalt,1,0,0,1890,yes,building_addition,3,wind,undamaged,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973,yes,museum,museum,museum,not_applicable,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,exceptional,considerable,exceptional,some,0,0,0,1,0,0,yes,yes,yes,yes,yes,museum,undamaged,no,no,no,
,shayla,78003411,"December 10-11, 2021 Tornado Outbreak",2021,Princeton,115 E Main St Princeton KY 42445,subEF,36.48,37.61,-89.14,-86.51,37.108567,-87.881489,115 E Main St Princeton KY 42445 US,Champion-Shepherdson House,,19,no,business,2,1817,175,row_end,right_on_street,8,4,s,13,15,un,gable,30,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,3,,un,1,solid_brick_wythe,masonry_un,3,un,1,un,1,brick,3,not_applicable,no,50,0,5,0,0,50,5,0,no,,no,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,2,un,un,1,asphalt,3,0,0,,no,,,wind,undamaged,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978,yes,business,business,business,not_applicable,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,some,considerable,some,limited,0,1,0,0,0,0,yes,yes,yes,yes,yes,business,undamaged,no,no,no,hard to see the back side of the building
