town,tornado_EF,tornado_start_lat,tornado_end_lat,tornado_start_long,tornado_end_long,latitude,longitude,archetype,located_in_historic_district,occupany_u,number_stories,year_built_u,building_area_m2,building_urban_setting,building_position_on_street,buidling_height_m,first_floor_elevation_m,front_elevation_orientation,wall_length_side,wall_length_front,wall_thickness,roof_shape_u,roof_slope_u,construction_type_u,mwfrs_u_wall,mwfrs_u_roof,mwfrs_u_moment_frame,masonry_leaves,structural_wall_system_u,foundation_type_u,wall_anchorage_type_u,wall_substrate_u,wall_cladding_u,soffit_type_u,soffit_present_u,wall_fenesteration_per_front,wall_fenesteration_per_back,wall_fenesteration_per_right,wall_fenesteration_per_left,wall_fenestration_per_n,wall_fenestration_per_s,wall_fenestration_per_e,wall_fenestration_per_w,wall_fenesteration_protection_front,wall_fenesteration_protection_back,wall_fenesteration_protection_right,wall_fenesteration_protection_left,fenestration_protection_type_front,fenestration_protection_type_back,fenestration_protection_type_right,fenestration_protection_type_left,large_door_present_front,large_door_present_back,large_door_present_right,large_door_present_left,door_present_n,door_present_s,door_present_e,door_present_w,roof_system_u,r2wall_attachment_u,roof_substrate_type_u,roof_cover_u,repla,overhang_length_u,parapet_height_m,retrofit_year_u,retrofit_present_u,retrofit_type_u,hazards_present_u,foundation_failure_u,foundatio_failure_per_u,risk_category_16,building_low_rise,r2wall_attachment_o,foundation_failure_o,national_register_listing_year,buidling_use_before_tornado,buidling_use_after_tornado,buidling_use_plan_after_tornado,single_unit,multiple_unit,sub_national_heritage _list,property_of_local_significance,const_material_h_stone,const_material_h_brick,const_material_h_wood,const_material_h_mud,const_material_h_rf_masonry,const_material_h_rglr_stone,const_material_h_rf_conc,const_material_h_ir_stone,const_material_h_othr,const_material_v_stone,const_material_v_brick,const_material_v_wood,const_material_v_mud,const_material_v_rf_masonry,const_material_v_rglr_stone,const_material_v_rf_conc,const_material_v_ir_stone,const_material_v_othr,parking / storage facility,owner_individual,owner_business,owner_government,owner_ngo,owner_religious ,owner_unknown,building_in_use_during_tornado,building_use_during_tornado
Jonesboro,subEF,35.79,36.4,-90.55,-89.31,35.836033,-90.70875,19.0,no,residential,2.5,1898.0,475.0,isolated,recessed,7.6,3.5,s,20.0,14.0,0.2,gable-hip_combo,45.0,masonry_un,wall_diaphragm_masonry,roof_diaphragm_wood,no,single_leaf,wood_frame,slab_on_grade,un,un,brick_veneer,wood,yes,35.0,20.0,35.0,20.0,20.0,35.0,35.0,20.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,yes,no,no,no,no,yes,no,no,wooden_rafters,un,dimensional_lumber,asphalt,3,0.15,0,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,1994,residential,residential,residential,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,yes,residential
Jonesboro,subEF,35.79,36.4,-90.55,-89.31,35.838097,-90.705394,14.0,no,business,2.0,1934.0,940.0,isolated,recessed,10.0,4.0,e,25.0,38.0,0.45,flat,0.0,masonry_un,wall_diaphragm_masonry,un,un,un,solid_brick_wythe,un,un,un,brick,not_applicable,no,20.0,15.0,15.0,15.0,15.0,15.0,20.0,15.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,steel,un,metal_deck,corrugated_metal,1,0,0.5,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,1998,business,business,business,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,yes,institutional
Jonesboro,subEF,35.79,36.4,-90.55,-89.31,35.837956,-90.706069,19.0,no,business,2.0,1899.0,300.0,isolated,right_on_street,10.0,4.6,e,28.0,11.0,0.22,flat,0.0,masonry_un,wall_diaphragm_masonry,roof_diaphragm_wood,no,single_leaf,solid_brick_wythe,masonry_stem_wall,un,un,brick,not_applicable,no,20.0,10.0,20.0,0.0,20.0,0.0,20.0,10.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,steel,un,metal_deck,corrugated_metal,1,0,0.2,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,2003,business,business,business,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,yes,business
Jonesboro,subEF,35.79,36.4,-90.55,-89.31,35.840494,-90.705022,19.0,no,business,2.0,1890.0,240.0,row_end,right_on_street,10.0,4.6,e,28.0,7.5,0.2,flat,0.0,masonry_un,wall_diaphragm_masonry,roof_diaphragm_wood,no,single_leaf,solid_brick_wythe,concrete_un,un,un,brick,not_applicable,no,35.0,5.0,0.0,20.0,0.0,20.0,35.0,5.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,steel,un,metal_deck,corrugated_metal,1,0,0.2,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,2005,business,business,business,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,yes,business
Jonesboro,subEF,35.79,36.4,-90.55,-89.31,35.841517,-90.705983,8.0,no,not in use,2.0,1890.0,1300.0,row_end,right_on_street,7.6,7.0,e,24.0,52.0,0.45,flat,0.0,masonry_un,wall_diaphragm_wood,roof_diaphragm_wood,yes,double_leaf,wood_frame,un,un,wooden_panels,brick,not_applicable,no,5.0,15.0,0.0,0.0,0.0,0.0,5.0,15.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,yes,yes,no,no,no,no,yes,yes,un,un,un,un,1,0,1,un,un,un,un,0.1234567901234567,1.5843621399176957,2,yes,un,16.666666666666668,2002,un,un,un,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,un
Jonesboro,subEF,35.79,36.4,-90.55,-89.31,35.842283,-90.698267,19.0,no,factory,1.0,1907.0,1000.0,isolated,right_on_street,9.0,4.0,s,61.0,20.0,un,flat,0.0,masonry_un,wall_diaphragm_masonry,roof_diaphragm_wood,un,double_leaf,solid_brick_wythe,slab_on_grade,un,un,stucco,not_applicable,no,10.0,19.49742268041237,15.592827004219409,15.564935064935066,22.19406392694064,10.0,18.54185022026432,18.67234042553191,un,un,un,un,un,un,un,un,un,un,un,un,un,un,un,un,un,un,un,un,1,0,0.5,un,no,un,un,0.1234567901234567,1.5843621399176957,2,yes,un,16.666666666666668,2017,un,un,un,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,no,un
Etowah,subEF,35.79,36.4,-90.55,-89.31,35.718611,-90.2425,1.0,no,utilities,1.0,1915.0,60.0,isolated,recessed,5.0,5.0,n,6.0,9.5,0.2,gambrel,30.0,wood_un,wall_diaphragm_wood,roof_diaphragm_wood,no,not_applicable,wood_frame,un,un,un,wood_plank,metal,yes,10.0,15.0,20.0,20.0,10.0,15.0,20.0,20.0,un,un,un,un,un,un,un,un,un,no,un,no,un,no,no,un,wooden_un,un,un,metal_un,3,0.75,0.2,un,no,un,wind,0.0,0.0,1,yes,un,16.666666666666668,2004,utilities,utilities,utilities,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,yes,utilities
Manila,subEF,35.79,36.4,-90.55,-89.31,35.878781,-90.166411,1.0,no,museum,1.0,1910.0,220.0,isloated,recessed,4.5,3.5,n,24.0,8.5,0.2,gable,45.0,wooden_light_frame,wall_diaphragm_wood,roof_diaphragm_wood,no,not_applicable,wood_frame,masonry_un,un,un,wood_plank,wood,yes,40.0,5.0,35.0,10.0,40.0,5.0,10.0,35.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_rafters,un,dimensional_lumber,asphalt,3,0.66,0,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,1997,museum,museum,museum,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,yes,museum
Monette,subEF,35.79,36.4,-90.55,-89.31,35.890342,-90.342656,6.0,no,museum,2.0,1918.0,225.0,isloated,right_on_street,7.6,4.0,n,27.0,8.0,un,flat,0.0,masonry_un,wall_diaphragm_masonry,un,un,double_leaf,masonry_block_unreinforced,un,un,un,brick,not_applicable,no,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,un,un,un,un,1,0,0.5,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,2008,museum,museum,museum,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,yes,museum
Leachville,0,35.79,36.4,-90.55,-89.31,35.936419,-90.259461,1.0,no,not in use,1.0,1910.0,220.0,isolated,recessed,4.6,3.5,w,10.0,21.0,0.2,hip,30.0,wooden_light_frame,wall_diaphragm_wood,roof_diaphragm_wood,no,not_applicable,wood_frame,slab_on_grade,un,wooden_panels,wood_plank,wood,yes,35.0,15.0,20.0,25.0,25.0,20.0,15.0,35.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,un,plywood,asphalt,3,1,0,un,no,un,"wind,wind-borne debris",0.0,0.0,2,yes,un,16.666666666666668,1992,not in use,not in use,not in use,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,yes,not in use
Paragould,subEF,35.79,36.4,-90.55,-89.31,36.057994,-90.494628,6.0,no,residential,1.5,1937.0,115.0,isolated,recessed,6.6,3.5,s,8.0,14.0,0.2,gable,45.0,masonry_un,wall_diaphragm_masonry,roof_diaphragm_wood,no,single_leaf,wood_frame,un,un,un,brick_veneer,wood,yes,40.0,40.0,25.0,35.0,40.0,40.0,25.0,35.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,un,un,plywood,asphalt,3,0.35,0,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,2002,residential,residential,residential,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,yes,residential
Paragould,subEF,35.79,36.4,-90.55,-89.31,36.055992,-90.491231,12.48605577689243,no,residential,2.0,1930.0,310.0,isolated,recessed,7.0,3.5,n,11.0,20.0,0.2,gable,30.0,ot,ot,roof_diaphragm_wood,no,not_applicable,un,slab_on_grade,un,ot,stucco,not_applicable,no,15.0,20.0,5.0,5.0,15.0,20.0,5.0,5.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,yes,no,no,no,yes,no,no,wooden_un,un,ot,tiles_clay,3,0.35,0,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,1996,residential,residential,residential,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,yes,residential
Paragould,subEF,35.79,36.4,-90.55,-89.31,36.055319,-90.490719,4.0,no,residential,2.5,1890.0,300.0,isolated,recessed,11.0,4.0,e,18.0,16.0,0.2,hip,45.0,wooden_light_frame,wall_diaphragm_wood,roof_diaphragm_wood,no,not_applicable,wood_frame,un,un,wooden_panels,ot,wood,yes,20.0,15.0,30.0,15.0,30.0,15.0,20.0,15.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,un,plywood,asphalt,3,0.15,0,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,1992,residential,residential,residential,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,yes,residential
Paragould,subEF,35.79,36.4,-90.55,-89.31,36.054403,-90.488489,6.0,no,assembly,1.0,1926.0,113.0,isolated,recessed,5.0,5.0,n,18.0,7.0,0.45,flat,0.0,masonry_un,wall_diaphragm_masonry,un,no,double_leaf,solid_brick_wythe,slab_on_grade,un,un,brick,not_applicable,no,30.0,10.0,15.0,0.0,30.0,10.0,0.0,15.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,un,no,no,no,un,no,no,wooden_un,un,un,un,1,0.35,un,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,1994,assembly,assembly,assembly,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,yes,mercantile
Paragould,subEF,35.79,36.4,-90.55,-89.31,36.058414,-90.487622,13.0,no,assembly,1.0,1935.0,385.0,isolated,recessed,11.0,6.5,e,33.0,9.0,un,complex,30.0,masonry_un,wall_diaphragm_masonry,roof_diaphragm_wood,un,triple_leaf,solid_brick_wythe,un,un,not_applicable,brick,un,yes,10.0,10.0,5.0,10.0,5.0,10.0,10.0,10.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_trusses,un,plywood,asphalt,3,0.15,0,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,1978,assembly,assembly,assembly,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,yes,assembly
Paragould,subEF,35.79,36.4,-90.55,-89.31,36.0559,-90.489061,14.0,yes,business,2.0,1887.0,360.0,isolated,recessed,11.0,5.0,s,22.0,16.0,0.45,gable-hip_combo,30.0,masonry_un,wall_diaphragm_masonry,roof_diaphragm_wood,no,double_leaf,solid_brick_wythe,un,un,un,brick,un,yes,40.0,40.0,35.0,40.0,40.0,40.0,35.0,40.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,un,plywood,wooden_shingles,3,0.66,0,un,no,un,wind,0.0,0.0,3,yes,un,16.666666666666668,1976,business,business,business,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,yes,business
Paragould,subEF,35.79,36.4,-90.55,-89.31,36.055492,-90.486347,19.0,no,business,2.0,1923.0,230.0,row_end,right_on_street,11.0,5.0,e,30.0,8.0,un,flat,0.0,masonry_un,wall_diaphragm_stone,un,no,single_leaf,masonry_block_unreinforced,slab_on_grade,un,un,stone_ot,not_applicable,no,20.0,0.0,50.0,0.0,50.0,0.0,20.0,0.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,un,un,un,un,1,0.15,0,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,1993,business,business,business,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,yes,business
Paragould,subEF,35.79,36.4,-90.55,-89.31,36.054433,-90.485125,6.0,no,assembly,1.0,1925.0,70.0,isolated,recessed,5.0,3.5,n,9.0,7.0,0.2,hip,30.0,masonry_un,wall_diaphragm_masonry,un,no,single_leaf,solid_brick_wythe,masonry_un,un,un,brick,wood,yes,40.0,20.0,50.0,15.0,40.0,20.0,15.0,50.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,un,un,tiles_clay,3,0.35,0,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,2001,assemby,assembly,assembly,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,yes,assembly
Dell,subEF,35.79,36.4,-90.55,-89.31,35.876061,-90.044025,3.0,yes,residential,1.0,1891.6,350.0,isolated,recessed,3.5,3.5,w,30.0,13.0,0.2,hip,30.0,wooden_light_frame,wall_diaphragm_wood,roof_diaphragm_wood,no,not_applicable,wood_frame,not_applicable,un,wooden_sheathing_cont,vinyl_ot,un,yes,60.0,35.0,70.0,40.0,40.0,70.0,35.0,60.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,un,un,standing_seam_metal,3,0.75,0,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,2007,residential,residential,residential,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,yes,residential
Blytheville,subEF,35.79,36.4,-90.55,-89.31,35.928158,-89.908197,12.48605577689243,no,business,1.0,1937.0,300.0,isolated,recessed,7.0,5.0,e,23.0,13.0,0.33,flat,0.0,un,un,un,no,not_applicable,un,slab_on_grade,un,un,un,not_applicable,no,15.0,10.0,15.0,15.0,15.0,15.0,15.0,10.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,un,un,metal_deck,corrugated_metal,2,0,0,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,1987,business,business,business,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,yes,business
Blytheville,subEF,35.79,36.4,-90.55,-89.31,35.928839,-89.904772,14.0,no,business,3.5,1919.0,1160.0,isolated,recessed,14.0,4.0,s,19.0,34.0,un,complex,30.0,masonry_un,wall_diaphragm_masonry,un,un,single_leaf,masonry_block_unreinforced,masonry_un,un,un,stone_ot,not_applicable,no,35.0,20.0,75.0,30.0,20.0,35.0,75.0,30.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,yes,no,no,yes,no,no,no,wooden_un,un,plywood,asphalt,2,0.66,0,2021,yes,building_addition,wind,0.0,0.0,3,yes,un,16.666666666666668,1996,business,business,business,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,yes,business
