town,tornado_EF,tornado_start_lat,tornado_end_lat,tornado_start_long,tornado_end_long,latitude,longitude,archetype,located_in_historic_district,occupany_u,number_stories,year_built_u,building_area_m2,building_urban_setting,building_position_on_street,buidling_height_m,first_floor_elevation_m,front_elevation_orientation,wall_length_side,wall_length_front,wall_thickness,roof_shape_u,roof_slope_u,construction_type_u,mwfrs_u_wall,mwfrs_u_roof,mwfrs_u_moment_frame,masonry_leaves,structural_wall_system_u,foundation_type_u,wall_anchorage_type_u,wall_substrate_u,wall_cladding_u,soffit_type_u,soffit_present_u,wall_fenesteration_per_front,wall_fenesteration_per_back,wall_fenesteration_per_right,wall_fenesteration_per_left,wall_fenestration_per_n,wall_fenestration_per_s,wall_fenestration_per_e,wall_fenestration_per_w,wall_fenesteration_protection_front,wall_fenesteration_protection_back,wall_fenesteration_protection_right,wall_fenesteration_protection_left,fenestration_protection_type_front,fenestration_protection_type_back,fenestration_protection_type_right,fenestration_protection_type_left,large_door_present_front,large_door_present_back,large_door_present_right,large_door_present_left,door_present_n,door_present_s,door_present_e,door_present_w,roof_system_u,r2wall_attachment_u,roof_substrate_type_u,roof_cover_u,repla,overhang_length_u,parapet_height_m,retrofit_year_u,retrofit_present_u,retrofit_type_u,hazards_present_u,foundation_failure_u,foundatio_failure_per_u,risk_category_16,building_low_rise,r2wall_attachment_o,foundation_failure_o,national_register_listing_year,buidling_use_before_tornado,buidling_use_after_tornado,buidling_use_plan_after_tornado,single_unit,multiple_unit,sub_national_heritage _list,property_of_local_significance,const_material_h_stone,const_material_h_brick,const_material_h_wood,const_material_h_mud,const_material_h_rf_masonry,const_material_h_rglr_stone,const_material_h_rf_conc,const_material_h_ir_stone,const_material_h_othr,const_material_v_stone,const_material_v_brick,const_material_v_wood,const_material_v_mud,const_material_v_rf_masonry,const_material_v_rglr_stone,const_material_v_rf_conc,const_material_v_ir_stone,const_material_v_othr,parking / storage facility,owner_individual,owner_business,owner_government,owner_ngo,owner_religious ,owner_unknown,building_in_use_during_tornado,building_use_during_tornado
Lepanto,subEF,35.67,35.69,-90.53,-90.47,35.612075,-90.33148333,13.0,no,assembly,1.0,1937.0,376.0,isolated,recessed,5.0,3.5,w,16.0,20.0,0.2,gable,30.0,masonry_un,wall_diaphragm_wood,roof_diaphragm_wood,no,un,solid_brick_wythe,masonry_stem_wall,un,un,brick,vinyl,yes,35.0,20.0,10.0,10.0,10.0,10.0,20.0,35.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,un,un,dimensional_lumber,asphalt,3,un,0,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,2003,assembly,assembly,assembly,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,yes,assembly
Harrisburg,subEF,35.71,35.75,-90.73,-90.64,35.563994,-90.717256,6.0,yes,business,1.0,1986.0,130.0,row_middle,right_on_street,5.0,3.5,w,23.0,5.5,un,flat,0.0,masonry_un,wall_diaphragm_masonry,roof_diaphragm_wood,un,un,solid_brick_wythe,masonry_stem_wall,un,un,brick,not_applicable,no,30.0,0.0,0.0,10.0,10.0,0.0,0.0,30.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,yes,no,un,yes,steel,un,metal_deck,corrugated_metal,1,0,0.2,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,1976,business,business,business,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,yes,business
Harrisburg,subEF,35.71,35.75,-90.73,-90.47,35.563056,-90.717222,14.0,yes,business,2.0,1918.0,600.0,isolated,recessed,16.0,5.0,e,20.0,27.0,un,complex,30.0,un,wall_diaphragm_stone,un,no,not_applicable,masonry_block_unreinforced,slab_on_grade,un,sheathing_insulate,stone_ot,not_applicable,no,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,un,un,un,clay_tiles,3,0.75,0,un,no,un,wind,0.0,0.0,3,yes,un,16.666666666666668,1989,business,business,business,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,yes,institutional
Trumann,subEF,35.67,35.69,-90.53,-90.47,35.6745,-90.516944,6.0,no,residential,1.0,1935.0,470.0,isolated,recessed,5.0,3.5,e,17.0,30.0,0.2,complex,45.0,masonry_un,wall_diaphragm_stone,roof_diaphragm_wood,no,single_leaf,masonry_block_unreinforced,un,un,wooden_sheathing_cont,stone_ot,vinyl,yes,60.0,35.0,30.0,30.0,35.0,60.0,30.0,30.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_trusses,un,dimensional_lumber,asphalt,3,0.15,0,un,no,un,"wind,wind-borne debris",0.0,0.0,2,yes,un,16.666666666666668,2010,residential,residential,residential,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,yes,residential
Jonesboro,subEF,35.79,36.4,-90.55,-89.31,35.842247,-90.673978,19.0,no,residential,2.5,1936.0,206.0,isloated,recessed,7.6,3.5,s,13.0,16.5,0.2,dormer,45.0,masonry_un,wall_diaphragm_masonry,roof_diaphragm_wood,no,single_leaf,wood_frame,un,un,wooden_sheathing_cont,brick,un,un,35.0,20.0,10.0,20.0,20.0,35.0,10.0,20.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_rafters,un,dimensional_lumber,asphalt,3,0.15,0,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,2014,residential,residential,residential,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,yes,residential
Jonesboro,subEF,35.79,36.4,-90.55,-89.31,35.828611,-90.705278,19.0,no,residential,2.5,1904.0,265.0,isloated,recessed,7.0,3.5,e,21.0,13.0,0.2,complex,30.0,masonry_un,wall_diaphragm_masonry,roof_diaphragm_wood,no,un,solid_brick_wythe,slab_on_grade,un,un,brick,wood,yes,15.0,10.0,20.0,15.0,20.0,15.0,15.0,10.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,un,un,dimensional_lumber,asphalt,3,0.75,0,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,1985,residential,residential,residential,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,yes,residential
Jonesboro,subEF,35.79,36.4,-90.55,-89.31,35.832008,-90.704936,19.0,no,residential,2.0,1896.0,390.0,isloated,recessed,6.3,3.5,w,16.0,25.0,0.2,complex,45.0,masonry_un,wall_diaphragm_masonry,roof_diaphragm_wood,no,single_leaf,un,slab_on_grade,un,un,brick,wood,yes,20.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,un,un,dimensional_lumber,asphalt,3,0.35,0,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,1996,residential,residential,residential,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,yes,residential
Jonesboro,subEF,35.79,36.4,-90.55,-89.31,35.832314,-90.704881,4.0,no,residential,2.0,1885.0,275.0,isloated,recessed,6.3,3.5,w,20.0,17.0,0.2,gable-hip_combo,30.0,wooden_light_frame,wall_diaphragm_wood,roof_diaphragm_wood,no,not_applicable,wood_frame,slab_on_grade,un,wooden_sheathing_cont,wood_plank,wood,yes,20.0,15.0,20.0,20.0,20.0,20.0,15.0,20.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,un,un,dimensional_lumber,asphalt,3,0.35,0,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,1973,residential,residential,residential,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,yes,residential
Jonesboro,subEF,35.79,36.4,-90.55,-89.31,35.831619,-90.703097,13.0,no,assembly,1.0,1936.0,2275.0,isolated,recessed,7.5,6.5,w,63.0,40.0,0.2,gable,30.0,masonry_un,wall_diaphragm_masonry,roof_diaphragm_wood,un,un,solid_brick_wythe,un,un,sheathing_insulate,brick,not_applicable,no,10.0,2.0,5.0,5.0,5.0,5.0,2.0,10.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,un,un,un,asphalt,3,0,0.5,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,2008,assembly,assembly,assembly,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,yes,assembly
Jonesboro,subEF,35.79,36.4,-90.55,-89.31,35.832569,-90.707056,4.0,no,residential,2.0,1895.0,210.0,isolated,recessed,7.6,3.5,e,11.0,21.0,0.2,complex,45.0,wooden_light_frame,wall_diaphragm_wood,roof_diaphragm_wood,no,not_applicable,wood_frame,un,un,wooden_sheathing_cont,wood_plank,wood,yes,40.0,20.0,35.0,35.0,35.0,35.0,40.0,20.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_rafters,un,dimensional_lumber,asphalt,3,0.35,0,un,no,un,wind,0.0,0.0,2,yes,un,16.666666666666668,1976,residential,residential,residential,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,yes,residential
